CCTV综合,#genre#
武林外传,https://lunbo.freetv.top/yy/1355652820
武林外传,https://lunbo.freetv.top/yy/1353852605
武林外传,https://lunbo.freetv.top/yy/1454629602
武林外传,https://lunbo.freetv.top/yy/1394000563
爱情公寓,http://43.138.170.29:35455/huya/11336726
爱情公寓,https://www.goodiptv.club/douyu/6863367
陈翔六点半,http://43.138.170.29:35455/huya/11274154

综艺,#genre#
赵本山《超清版》,http://43.138.170.29:35455/yy/1382683959
赵本山《蓝光版》,http://43.138.170.29:35455/yy/32160832
赵本山小品,http://43.138.170.29:35455/yy/28882933

卡通,#genre#
金鹰卡通,http://121.19.134.245:808/tsfile/live/1032_1.m3u8
金鹰卡通,http://hf.bbtu.top:10000/rtp/239.3.1.51:9252
金鹰卡通,http://183.134.3.22:8888/newlive/live/hls/55/live.m3u8

电视剧,#genre#
宝莲灯前传,http://43.138.170.29:35455/yy/1354931631
新三国,http://43.138.170.29:35455/huya/11352944
新水浒,http://43.138.170.29:35455/huya/11342384
红楼梦1987经典版,http://43.138.170.29:35455/yy/1382745084
家有儿女,http://43.138.170.29:35455/huya/11352872
封神榜陈浩民,http://43.138.170.29:35455/huya/23749096
请回答1988,http://43.138.170.29:35455/yy/1354932362
西游记港版,http://43.138.170.29:35455/huya/23735126
魔幻手机,http://43.138.170.29:35455/yy/1382735544
魔幻手机,http://43.138.170.29:35455/huya/11352966
万合出品,http://43.138.170.29:35455/douyu/9220456
我和僵尸有个约会,http://43.138.170.29:35455/yy/1354143966

电影,#genre#
周星星,http://43.138.170.29:35455/huya/11342412
林正英,http://43.138.170.29:35455/huya/11342421
